Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price
manchester piccadilly,liverpool lime street,no railcard,advance,3 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
london st pancras,birmingham new street,adult,advance,10 days,5
london kings cross,york,no railcard,advance,1 days,57
birmingham new street,stafford,no railcard,advance,3 days,5
london st pancras,birmingham new street,no railcard,advance,5 days,8
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,advance,5 days,3
london euston,manchester piccadilly,adult,off-peak,0 days,72
london euston,birmingham new street,adult,advance,13 days,4
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,adult,advance,11 days,2
london st pancras,birmingham new street,no railcard,advance,6 days,8
london paddington,reading,adult,advance,7 days,8
london euston,birmingham new street,no railcard,advance,1 days,52
birmingham new street,liverpool lime street,no railcard,advance,1 days,6
london euston,birmingham new street,no railcard,advance,3 days,7
manchester piccadilly,liverpool lime street,adult,advance,1 days,6
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,advance,6 days,35
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london euston,birmingham new street,no railcard,advance,12 days,7
london kings cross,york,no railcard,advance,1 days,35
london paddington,reading,no railcard,advance,8 days,13
london kings cross,york,no railcard,advance,3 days,35
london euston,manchester piccadilly,adult,advance,12 days,48
london kings cross,york,no railcard,advance,1 days,35
london euston,manchester piccadilly,adult,advance,12 days,48
london euston,birmingham new street,no railcard,advance,10 days,7
york,durham,no railcard,off-peak,0 days,15
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,advance,7 days,13
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
york,durham,disabled,advance,6 days,5
london kings cross,york,no railcard,advance,12 days,35
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
manchester piccadilly,liverpool lime street,no railcard,advance,9 days,10
manchester piccadilly,london euston,adult,advance,3 days,89
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london paddington,reading,no railcard,advance,1 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,2 days,3
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,senior,anytime,0 days,17
york,doncaster,disabled,anytime,0 days,7
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5
london kings cross,york,no railcard,anytime,0 days,114
london euston,birmingham new street,no railcard,advance,8 days,7
london kings cross,york,adult,advance,5 days,38
london paddington,reading,no railcard,anytime,0 days,25
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,no railcard,advance,7 days,3
liverpool lime street,manchester piccadilly,no railcard,advance,9 days,3
london st pancras,birmingham new street,no railcard,advance,2 days,8
birmingham new street,london st pancras,no railcard,advance,4 days,22
manchester piccadilly,london paddington,no railcard,advance,1 days,86
london kings cross,york,no railcard,anytime,0 days,70
london kings cross,york,no railcard,advance,2 days,35
london st pancras,birmingham new street,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,20
london euston,birmingham new street,no railcard,anytime,0 days,13
liverpool lime street,london euston,no railcard,anytime,0 days,151
liverpool lime street,london euston,adult,advance,1 days,50
liverpool lime street,london euston,no railcard,anytime,0 days,151
birmingham new street,london euston,no railcard,anytime,0 days,41
liverpool lime street,london euston,no railcard,anytime,0 days,151
london paddington,reading,no railcard,anytime,0 days,25
london st pancras,birmingham new street,adult,anytime,0 days,11
london euston,birmingham new street,no railcard,advance,13 days,7
london paddington,oxford,no railcard,anytime,0 days,35
london kings cross,york,no railcard,anytime,0 days,70
london paddington,oxford,no railcard,anytime,0 days,35
liverpool lime street,manchester piccadilly,adult,advance,3 days,2
manchester piccadilly,liverpool lime street,no railcard,advance,5 days,3
london euston,birmingham new street,no railcard,off-peak,0 days,10
london kings cross,york,no railcard,advance,12 days,35
manchester piccadilly,liverpool lime street,senior,advance,3 days,2
london kings cross,edinburgh waverley,disabled,anytime,0 days,48
london kings cross,york,no railcard,advance,14 days,35
london kings cross,york,no railcard,advance,11 days,35
york,peterborough,disabled,advance,5 days,22
birmingham new street,london st pancras,disabled,advance,5 days,15
london st pancras,wolverhampton,disabled,advance,7 days,21
manchester piccadilly,liverpool lime street,no railcard,advance,5 days,3
birmingham new street,london st pancras,no railcard,advance,14 days,22
york,doncaster,disabled,advance,1 days,4
london kings cross,york,no railcard,advance,11 days,57
liverpool lime street,manchester piccadilly,no railcard,advance,11 days,3
liverpool lime street,manchester piccadilly,no railcard,advance,8 days,3
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,10 days,13
london st pancras,birmingham new street,no railcard,advance,12 days,8
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
manchester piccadilly,liverpool lime street,no railcard,advance,3 days,10
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,crewe,senior,advance,2 days,6
london kings cross,york,no railcard,advance,1 days,35
reading,swindon,no railcard,advance,3 days,9
london kings cross,york,no railcard,advance,3 days,35
liverpool lime street,manchester piccadilly,no railcard,advance,9 days,3
reading,swindon,no railcard,advance,1 days,30
york,doncaster,no railcard,advance,1 days,6
london paddington,london waterloo,no railcard,advance,11 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,2 days,3
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,york,adult,off-peak,0 days,15
london kings cross,york,no railcard,advance,1 days,35
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,london euston,no railcard,advance,1 days,76
manchester piccadilly,sheffield,no railcard,off-peak,0 days,5
liverpool lime street,london euston,no railcard,advance,13 days,76
liverpool lime street,london euston,no railcard,advance,12 days,76
york,leeds,no railcard,advance,8 days,3
liverpool lime street,london st pancras,no railcard,advance,1 days,77
london paddington,reading,disabled,off-peak,0 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,7 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,4 days,10
london paddington,reading,no railcard,advance,9 days,13
manchester piccadilly,london st pancras,no railcard,off-peak,0 days,128
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
manchester piccadilly,liverpool lime street,senior,advance,12 days,6
manchester piccadilly,liverpool lime street,senior,advance,6 days,6
london kings cross,york,no railcard,advance,11 days,35
london euston,birmingham new street,no railcard,off-peak,0 days,10
london kings cross,york,adult,advance,11 days,23
london euston,birmingham new street,no railcard,advance,5 days,7
birmingham new street,manchester piccadilly,adult,advance,1 days,7
london kings cross,york,no railcard,advance,10 days,35
london st pancras,birmingham new street,adult,advance,1 days,36
london euston,birmingham new street,no railcard,advance,1 days,52
york,edinburgh,adult,advance,4 days,16
london paddington,reading,no railcard,off-peak,0 days,19
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,advance,7 days,8
london kings cross,york,no railcard,advance,3 days,35
london kings cross,york,no railcard,off-peak,0 days,53
london euston,birmingham new street,disabled,off-peak,0 days,7
london kings cross,york,no railcard,advance,1 days,35
london kings cross,york,senior,advance,1 days,38
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
london euston,birmingham new street,no railcard,advance,11 days,7
london euston,birmingham new street,no railcard,advance,1 days,7
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,10 days,8
manchester piccadilly,london st pancras,no railcard,advance,1 days,86
manchester piccadilly,liverpool lime street,no railcard,advance,2 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,5 days,8
london euston,birmingham new street,disabled,off-peak,0 days,7
york,edinburgh waverley,no railcard,advance,1 days,24
london kings cross,york,no railcard,advance,13 days,35
london euston,birmingham new street,no railcard,advance,14 days,7
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,disabled,anytime,0 days,9
london kings cross,york,adult,anytime,0 days,47
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london kings cross,york,no railcard,anytime,0 days,70
london paddington,reading,no railcard,anytime,0 days,25
birmingham new street,manchester piccadilly,adult,anytime,0 days,15
london euston,birmingham new street,no railcard,advance,8 days,52
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3
birmingham new street,manchester piccadilly,adult,anytime,0 days,15
birmingham new street,manchester piccadilly,adult,anytime,0 days,15
birmingham new street,london euston,no railcard,off-peak,0 days,31
manchester piccadilly,sheffield,adult,advance,1 days,2
manchester piccadilly,liverpool lime street,senior,advance,8 days,2
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
birmingham new street,stafford,no railcard,anytime,0 days,10
york,edinburgh,no railcard,advance,1 days,24
london kings cross,york,no railcard,anytime,0 days,114
york,edinburgh,no railcard,advance,11 days,24
