Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london kings cross,york,no railcard,advance,1 days,57,first class
york,peterborough,no railcard,advance,1 days,34,standard
york,peterborough,no railcard,advance,1 days,34,standard
reading,swindon,no railcard,advance,1 days,9,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,senior,off-peak,0 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,london euston,no railcard,advance,1 days,118,first class
oxford,bristol temple meads,no railcard,advance,1 days,17,standard
london euston,manchester piccadilly,disabled,advance,1 days,48,standard
reading,birmingham new street,no railcard,advance,1 days,33,standard
liverpool lime street,london euston,no railcard,advance,1 days,118,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14,first class
manchester piccadilly,leeds,adult,advance,1 days,6,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
birmingham new street,manchester piccadilly,adult,advance,1 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,manchester piccadilly,no railcard,off-peak,0 days,110,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,london st pancras,no railcard,advance,1 days,86,standard
london st pancras,birmingham new street,adult,off-peak,0 days,54,first class
london paddington,reading,no railcard,off-peak,0 days,41,first class
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,disabled,advance,1 days,5,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,birmingham new street,disabled,off-peak,0 days,52,first class
london kings cross,york,adult,off-peak,0 days,35,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2,standard
liverpool lime street,london euston,senior,advance,1 days,50,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,off-peak,0 days,86,first class
london kings cross,york,no railcard,off-peak,0 days,53,standard
london paddington,manchester piccadilly,no railcard,advance,1 days,73,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,manchester piccadilly,no railcard,advance,1 days,110,first class
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
edinburgh waverley,london kings cross,no railcard,advance,1 days,29,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,adult,off-peak,0 days,13,standard
liverpool lime street,london euston,adult,off-peak,0 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,crewe,senior,off-peak,0 days,8,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,manchester piccadilly,adult,off-peak,0 days,71,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
york,peterborough,no railcard,advance,1 days,34,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
liverpool lime street,sheffield,adult,advance,1 days,6,standard
liverpool lime street,manchester piccadilly,senior,advance,1 days,2,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london st pancras,leicester,senior,advance,1 days,16,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
london st pancras,leicester,senior,advance,1 days,16,standard
birmingham new street,york,adult,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
birmingham new street,coventry,no railcard,advance,1 days,3,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,57,first class
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
oxford,bristol temple meads,adult,advance,1 days,11,standard
london euston,oxford,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
