Lead Time,Departure Station,Arrival Destination,Day of Week
1 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Wednesday
0 days,london kings cross,york,Wednesday
2 days,london kings cross,edinburgh waverley,Friday
2 days,london kings cross,edinburgh waverley,Friday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
1 days,london paddington,reading,Thursday
0 days,york,durham,Wednesday
0 days,york,durham,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,liverpool lime street,london paddington,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london kings cross,liverpool lime street,Wednesday
0 days,london kings cross,york,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london kings cross,york,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,oxford,bristol temple meads,Wednesday
1 days,liverpool lime street,london paddington,Thursday
0 days,london paddington,reading,Wednesday
1 days,london paddington,reading,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,reading,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london st pancras,wolverhampton,Wednesday
0 days,birmingham new street,london st pancras,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london paddington,reading,Wednesday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,london paddington,reading,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,london paddington,reading,Wednesday
0 days,reading,swindon,Wednesday
0 days,london kings cross,york,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,liverpool lime street,manchester piccadilly,Wednesday
0 days,reading,swindon,Wednesday
0 days,york,peterborough,Wednesday
0 days,york,peterborough,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,london kings cross,york,Wednesday
1 days,london kings cross,york,Thursday
0 days,london paddington,reading,Wednesday
0 days,manchester piccadilly,london euston,Wednesday
1 days,london paddington,liverpool lime street,Thursday
0 days,liverpool lime street,london euston,Wednesday
0 days,manchester piccadilly,london euston,Wednesday
0 days,manchester piccadilly,sheffield,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,oxford,Wednesday
0 days,london paddington,reading,Wednesday
0 days,london paddington,oxford,Wednesday
1 days,london paddington,reading,Thursday
0 days,london paddington,oxford,Wednesday
0 days,london paddington,oxford,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
0 days,london kings cross,edinburgh waverley,Wednesday
1 days,london paddington,reading,Thursday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
0 days,london st pancras,birmingham new street,Wednesday
1 days,birmingham new street,london st pancras,Thursday
1 days,birmingham new street,london st pancras,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,york,doncaster,Thursday
1 days,birmingham new street,london euston,Thursday
1 days,birmingham new street,london st pancras,Thursday
1 days,birmingham new street,london st pancras,Thursday
1 days,london paddington,oxford,Thursday
1 days,london paddington,reading,Thursday
1 days,london paddington,oxford,Thursday
1 days,london kings cross,york,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london paddington,oxford,Thursday
1 days,london kings cross,york,Thursday
1 days,london paddington,reading,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,birmingham new street,london st pancras,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,york,doncaster,Thursday
1 days,london paddington,london waterloo,Thursday
1 days,liverpool lime street,london euston,Thursday
1 days,london euston,manchester piccadilly,Thursday
1 days,reading,oxford,Thursday
1 days,liverpool lime street,london euston,Thursday
1 days,manchester piccadilly,london euston,Thursday
1 days,reading,birmingham new street,Thursday
1 days,liverpool lime street,london euston,Thursday
0 days,london st pancras,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
1 days,manchester piccadilly,london euston,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,london paddington,reading,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
1 days,birmingham new street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london paddington,reading,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london st pancras,birmingham new street,Thursday
1 days,oxford,bristol temple meads,Thursday
1 days,london st pancras,birmingham new street,Thursday
1 days,london paddington,reading,Thursday
1 days,manchester piccadilly,london st pancras,Thursday
1 days,london kings cross,york,Thursday
0 days,london kings cross,york,Wednesday
0 days,london paddington,reading,Wednesday
0 days,reading,london paddington,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london kings cross,york,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,liverpool lime street,london euston,Thursday
0 days,birmingham new street,manchester piccadilly,Wednesday
1 days,birmingham new street,london st pancras,Thursday
0 days,london st pancras,leicester,Wednesday
0 days,birmingham new street,manchester piccadilly,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london kings cross,york,Wednesday
1 days,manchester piccadilly,london euston,Thursday
1 days,manchester piccadilly,london euston,Thursday
0 days,liverpool lime street,sheffield,Wednesday
0 days,manchester piccadilly,london euston,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,edinburgh waverley,london kings cross,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london paddington,reading,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london kings cross,york,Wednesday
1 days,london st pancras,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london euston,manchester piccadilly,Wednesday
0 days,london kings cross,york,Wednesday
0 days,london euston,birmingham new street,Wednesday
0 days,birmingham new street,tamworth,Wednesday
0 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london paddington,reading,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london kings cross,york,Wednesday
0 days,liverpool lime street,london euston,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
0 days,birmingham new street,coventry,Wednesday
1 days,london kings cross,york,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,liverpool lime street,manchester piccadilly,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,wolverhampton,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,london euston,birmingham new street,Thursday
1 days,london euston,birmingham new street,Thursday
1 days,london kings cross,york,Thursday
0 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london kings cross,york,Thursday
1 days,london kings cross,liverpool lime street,Thursday
1 days,liverpool lime street,sheffield,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,manchester piccadilly,liverpool lime street,Wednesday
0 days,london paddington,reading,Wednesday
1 days,london kings cross,york,Thursday
1 days,london kings cross,york,Thursday
0 days,london kings cross,york,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
1 days,london euston,birmingham new street,Thursday
0 days,london st pancras,birmingham new street,Wednesday
0 days,london st pancras,birmingham new street,Wednesday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,reading,oxford,Wednesday
1 days,london paddington,reading,Thursday
1 days,london st pancras,leicester,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london paddington,reading,Thursday
0 days,london euston,birmingham new street,Wednesday
1 days,london st pancras,birmingham new street,Thursday
1 days,london st pancras,birmingham new street,Thursday
0 days,manchester piccadilly,liverpool lime street,Wednesday
1 days,birmingham new street,nuneaton,Thursday
1 days,birmingham new street,nuneaton,Thursday
1 days,manchester piccadilly,liverpool lime street,Thursday
