Ticket Type,Ticket Class,Departure Station,Arrival Destination,Railcard,Lead Time,Price
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
anytime,standard,york,peterborough,no railcard,0 days,67
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
advance,standard,london kings cross,york,no railcard,6 days,35
anytime,standard,london euston,birmingham new street,adult,0 days,9
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,standard,london st pancras,birmingham new street,adult,1 days,5
advance,standard,birmingham new street,london st pancras,no railcard,3 days,22
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,manchester piccadilly,liverpool lime street,adult,4 days,2
anytime,standard,reading,oxford,senior,0 days,7
advance,first class,london paddington,reading,adult,5 days,18
anytime,standard,london euston,birmingham new street,adult,0 days,9
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,first class,manchester piccadilly,liverpool lime street,senior,3 days,6
advance,standard,london kings cross,york,no railcard,7 days,35
advance,standard,manchester piccadilly,liverpool lime street,adult,7 days,2
advance,standard,london paddington,reading,no railcard,7 days,13
advance,standard,london kings cross,york,no railcard,4 days,35
advance,first class,london kings cross,york,no railcard,3 days,57
anytime,standard,birmingham new street,liverpool lime street,adult,0 days,7
anytime,first class,birmingham new street,york,adult,0 days,65
advance,standard,london st pancras,birmingham new street,adult,7 days,5
advance,standard,london euston,birmingham new street,disabled,7 days,4
anytime,standard,birmingham new street,tamworth,no railcard,0 days,10
advance,standard,london euston,birmingham new street,adult,1 days,4
advance,standard,london euston,birmingham new street,disabled,5 days,4
advance,standard,manchester piccadilly,liverpool lime street,adult,3 days,2
advance,standard,manchester piccadilly,liverpool lime street,adult,1 days,2
advance,standard,london kings cross,york,no railcard,4 days,35
advance,standard,london kings cross,york,no railcard,6 days,35
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,manchester piccadilly,liverpool lime street,no railcard,2 days,3
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
off-peak,standard,liverpool lime street,manchester piccadilly,adult,0 days,3
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,first class,london st pancras,leicester,senior,5 days,20
advance,standard,london st pancras,leicester,senior,3 days,16
advance,standard,manchester piccadilly,liverpool lime street,senior,1 days,2
advance,first class,london euston,birmingham new street,adult,1 days,35
advance,standard,manchester piccadilly,liverpool lime street,no railcard,6 days,3
advance,standard,london st pancras,birmingham new street,no railcard,7 days,8
advance,standard,london st pancras,birmingham new street,no railcard,6 days,8
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,birmingham new street,nuneaton,no railcard,4 days,7
advance,first class,london paddington,reading,no railcard,1 days,27
advance,standard,london st pancras,birmingham new street,adult,1 days,5
advance,standard,london kings cross,york,no railcard,3 days,35
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london paddington,reading,adult,7 days,8
advance,standard,manchester piccadilly,sheffield,no railcard,1 days,4
advance,standard,birmingham new street,edinburgh,no railcard,1 days,36
advance,standard,london euston,birmingham new street,no railcard,4 days,7
advance,standard,london paddington,reading,no railcard,6 days,13
advance,first class,london kings cross,york,no railcard,2 days,57
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london euston,birmingham new street,no railcard,7 days,7
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london euston,manchester piccadilly,adult,5 days,48
advance,standard,london kings cross,york,no railcard,1 days,35
advance,standard,london euston,manchester piccadilly,adult,5 days,48
advance,standard,york,edinburgh,adult,5 days,16
advance,standard,london euston,birmingham new street,no railcard,1 days,7
off-peak,standard,liverpool lime street,london paddington,adult,0 days,77
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,4 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,1 days,3
off-peak,standard,manchester piccadilly,london euston,no railcard,0 days,126
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
off-peak,standard,london kings cross,york,no railcard,0 days,53
off-peak,standard,liverpool lime street,manchester piccadilly,disabled,0 days,3
off-peak,standard,london euston,birmingham new street,adult,0 days,7
advance,standard,liverpool lime street,manchester piccadilly,disabled,3 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days,3
advance,standard,liverpool lime street,manchester piccadilly,no railcard,6 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,3 days,3
advance,first class,london kings cross,york,disabled,1 days,38
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,liverpool lime street,manchester piccadilly,no railcard,3 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,2 days,3
off-peak,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,4
anytime,standard,birmingham new street,london st pancras,disabled,0 days,29
anytime,standard,york,doncaster,disabled,0 days,7
advance,standard,london kings cross,york,no railcard,2 days,35
advance,standard,manchester piccadilly,sheffield,no railcard,1 days,4
off-peak,standard,london kings cross,york,senior,0 days,35
anytime,standard,manchester piccadilly,liverpool lime street,no railcard,0 days,5
advance,standard,london euston,birmingham new street,adult,1 days,4
anytime,first class,reading,oxford,no railcard,0 days,17
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days,3
off-peak,standard,london paddington,reading,no railcard,0 days,19
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london paddington,reading,senior,1 days,8
advance,standard,london paddington,reading,senior,4 days,8
advance,standard,london st pancras,wolverhampton,disabled,3 days,21
advance,standard,manchester piccadilly,liverpool lime street,no railcard,5 days,3
advance,standard,london paddington,oxford,no railcard,4 days,18
advance,standard,london paddington,reading,no railcard,2 days,13
advance,standard,london paddington,oxford,no railcard,1 days,18
advance,standard,birmingham new street,london st pancras,no railcard,1 days,22
off-peak,standard,london euston,birmingham new street,adult,0 days,7
advance,first class,york,doncaster,no railcard,5 days,11
advance,standard,bristol temple meads,cardiff central,no railcard,4 days,5
advance,standard,london euston,birmingham new street,no railcard,1 days,7
advance,standard,reading,swindon,no railcard,1 days,9
off-peak,standard,liverpool lime street,manchester piccadilly,no railcard,0 days,5
off-peak,standard,london euston,birmingham new street,senior,0 days,7
off-peak,standard,london st pancras,birmingham new street,no railcard,0 days,12
advance,first class,liverpool lime street,london euston,no railcard,2 days,118
advance,standard,manchester piccadilly,london euston,no railcard,1 days,84
advance,standard,london st pancras,birmingham new street,adult,3 days,5
advance,standard,london paddington,reading,no railcard,1 days,13
off-peak,standard,london kings cross,york,no railcard,0 days,53
advance,first class,manchester piccadilly,liverpool lime street,no railcard,2 days,10
off-peak,standard,birmingham new street,manchester piccadilly,adult,0 days,11
advance,standard,liverpool lime street,manchester piccadilly,no railcard,3 days,3
off-peak,first class,liverpool lime street,manchester piccadilly,disabled,0 days,10
advance,standard,liverpool lime street,manchester piccadilly,disabled,6 days,2
advance,standard,liverpool lime street,manchester piccadilly,adult,1 days,2
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,manchester piccadilly,liverpool lime street,no railcard,4 days,3
advance,standard,london st pancras,birmingham new street,no railcard,1 days,8
advance,standard,london st pancras,birmingham new street,no railcard,2 days,8
off-peak,standard,liverpool lime street,manchester piccadilly,senior,0 days,3
off-peak,standard,london euston,birmingham new street,disabled,0 days,7
off-peak,standard,london euston,birmingham new street,no railcard,0 days,10
advance,first class,london euston,birmingham new street,no railcard,1 days,52
advance,standard,london kings cross,york,no railcard,6 days,35
advance,standard,london euston,birmingham new street,no railcard,5 days,7
anytime,standard,london euston,birmingham new street,disabled,0 days,9
advance,first class,london kings cross,york,no railcard,2 days,57
anytime,standard,london kings cross,york,no railcard,0 days,70
advance,standard,manchester piccadilly,sheffield,adult,5 days,2
advance,standard,manchester piccadilly,liverpool lime street,senior,4 days,2
advance,standard,london paddington,reading,no railcard,1 days,13
advance,standard,london euston,birmingham new street,disabled,4 days,4
advance,standard,manchester piccadilly,liverpool lime street,no railcard,1 days,3
advance,standard,london paddington,reading,no railcard,5 days,13
advance,standard,london st pancras,birmingham new street,no railcard,4 days,8
anytime,standard,london paddington,reading,no railcard,0 days,25
anytime,standard,london st pancras,birmingham new street,no railcard,0 days,16
advance,standard,london euston,birmingham new street,adult,2 days,4
